,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABHD17AP5,239.5964542,-0.077549972,0.053868396,-1.439619106,0.149975191,0.509854394
ABHD17AP6,9.266137889,0.197064791,0.306206799,0.643567653,0.519855831,0.95361915
ABHD17AP7,0.104357787,0.131829901,0.955771817,0.137930308,0.890295497,0.999996842
ABHD17AP8,1.661234749,0.131101266,0.093408341,1.403528475,0.160459307,0.530192895
ABHD17B,5465.43434,-0.017230377,0.02428802,-0.709418756,0.478064652,0.920173114
ABHD17C,1.247048433,0.072767244,0.121161113,0.600582493,0.548118101,0.976312676
ABHD18,12.17150689,0.052933892,0.079982638,0.661817282,0.508088329,0.944192645
ABHD2,163.6099855,-0.063865658,0.509043994,-0.125461961,NA,NA
ABHD3,40.83599531,0.078575409,0.072763344,1.079876272,0.280197281,0.716178675
ABHD4,101.7697027,-0.336036477,0.107247391,-3.133283467,0.001728624,0.028455934
ABHD5,821.5051892,-0.077445835,0.033995267,-2.278135785,0.022718489,0.162047119
ABHD6,12.05346123,0.225485076,0.068135503,3.309362454,0.000935087,0.018395482
ABHD8,293.1229223,0.204804152,0.103058515,1.987260851,0.046893498,0.257008535
ABI1,3471.2468,0.037501798,0.056208499,0.66719088,0.504650216,0.941602764
ABI1P1,1.49679553,0.028793445,0.094625561,0.304288232,0.76090831,0.999996842
ABI2,11115.65314,-0.025446793,0.042103406,-0.604387995,0.545585715,0.974640211
ABI3,582.7854824,0.107974615,0.054489062,1.981583301,0.047525898,0.259109534
ABI3BP,951.7577274,-0.051236505,0.048260439,-1.061666795,0.288386979,0.72767047
ABITRAM,11404.73026,0.020569141,0.024492861,0.839801498,0.401019694,0.852773308
ABITRAMP1,0.098609022,-0.031568228,0.541232028,-0.058326608,0.953488473,0.999996842
ABL1,236.1198446,0.032140858,0.067800685,0.474049166,0.635464847,0.999996842
ABL2,1869.244854,0.031584661,0.029514441,1.070142601,0.284555126,0.722439866
ABLIM1,719.5542446,-0.037606645,0.029107185,-1.292005574,0.196355214,0.592404037
ABLIM2,3305.549295,0.009288831,0.025404042,0.36564382,0.714630872,0.999996842
ABLIM3,652.4641394,-0.059773375,0.030542605,-1.957049003,0.050341707,0.267007108
ABO,1525.887,-0.253431773,0.06872692,-3.687518241,0.000226452,0.006663556
ABR,836.1670019,-0.052545668,0.043970815,-1.195012378,0.232082194,0.648773555
ABRA,1044.184414,-0.093567517,0.038725741,-2.416158224,0.015685244,0.125446065
ABRACL,2.349130098,0.12564902,0.271333669,0.463079353,0.643307489,0.999996842
ABRAXAS1,789.5634113,-0.038803542,0.030848909,-1.25785783,0.208443177,0.612219188
ABRAXAS2,1.567878816,-0.149466374,0.270697067,-0.55215365,0.580843087,0.99818664
ABT1,1984.865884,-0.022241494,0.038339911,-0.580113343,0.561838186,0.986532296
ABT1P1,0.038478815,0.022299372,1.271620478,0.017536185,0.986008866,0.999996842
ABTB1,4747.576944,-0.001098613,0.027773911,-0.039555581,0.968447441,0.999996842
ABTB2,121.4909643,-0.003093013,0.490517553,-0.006305611,NA,NA
ACAA1,3837.181367,-0.16619316,0.035902751,-4.628981165,3.67E-06,0.00030513
ACAA2,711.5500658,-0.004588667,0.023627644,-0.194207571,0.846013355,0.999996842
ACACA,0.495462468,0.094666031,0.175666788,0.538895439,0.589959004,0.999996842
ACACB,9763.578781,0.061819876,0.043627476,1.416994096,0.156484654,0.523131924
ACAD10,3193.550805,-0.085546639,0.02793326,-3.062536858,0.002194694,0.033565334
ACAD11,0.272708881,-0.031720589,0.236934705,-0.133879031,0.893498232,0.999996842
ACAD8,2469.631194,0.011725911,0.024982519,0.469364634,0.638809023,0.999996842
ACAD9,605.1667526,0.259059548,0.10025843,2.583917878,0.009768505,0.091143967
ACADL,1408.553559,0.050116297,0.049150811,1.019643331,0.307897647,0.75253345
ACADM,375.5530949,-0.294646608,0.068556688,-4.297853622,1.72E-05,0.000956961
ACADS,3649.267392,-0.024698425,0.022465828,-1.099377508,0.271603437,0.704927964
ACADSB,192.4895579,-0.048328335,0.091685004,-0.527112755,0.59811529,0.999996842
ACADVL,956.7425554,0.034900567,0.029823473,1.170238203,0.241905123,0.663308439
ACAN,9386.884498,-0.046618383,0.029646904,-1.572453668,0.115845376,0.441820059
ACAP1,2722.382972,0.004777977,0.025673803,0.186103185,0.852363844,0.999996842
ACAP2,2679.430803,-0.020716363,0.022592258,-0.916967383,0.359159732,0.812128456
ACAP2.IT1,0.282605748,-0.083324783,0.243020101,-0.342871981,0.731694772,0.999996842
ACAP3,9401.625378,0.032547612,0.029675259,1.096792838,0.272731962,0.706443681
ACAT1,3006.227478,-0.077952059,0.037396953,-2.084449452,0.037119304,0.223034826
