,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABAT,298.1165143,-0.099691669,0.075525148,-1.319979789,0.186841766,0.525396145
ABCA1,1149.048178,0.034976616,0.041815073,0.836459521,0.40289644,0.820274117
ABCA10,1301.423188,-0.001988013,0.05272509,-0.037705254,0.969922687,0.999991981
ABCA11P,19.90710523,-0.037318446,0.118031757,-0.316172928,0.751871255,0.999991981
ABCA12,592.3767476,-0.109863705,0.038943634,-2.821095358,0.004785997,0.043888051
ABCA13,511.9844588,0.123759041,0.134088486,0.922965455,0.356025208,0.767315383
ABCA17P,0.300647447,-0.176344034,0.305036302,-0.578108353,0.563190968,0.965339356
ABCA2,3999.9585,-0.057326961,0.111279715,-0.515160923,0.606440573,0.995862744
ABCA3,341.2259511,0.232748635,0.120516884,1.931253337,0.053451731,0.234829696
ABCA4,2115.488747,0.001025849,0.027175714,0.037748754,0.969888003,0.999991981
ABCA5,2118.167599,-0.024662007,0.026340212,-0.936287321,0.349125274,0.759850608
ABCA6,19.78877095,0.3724813,0.184797979,2.015613486,0.043840408,0.204818289
ABCA7,1252.43055,-0.212953804,0.060078917,-3.54456798,0.000393257,0.007001909
ABCA8,357.7822321,-0.245866155,0.088540366,-2.776882055,0.005488309,0.04847472
ABCA9,303.9744868,0.060824159,0.08974835,0.677718969,0.497949897,0.912116801
ABCA9.AS1,1.37833617,-0.248689917,0.157236564,-1.581629045,0.113734279,0.383708363
ABCB1,1862.882434,-0.191209887,0.076865054,-2.487604933,0.012860651,0.087403579
ABCB10,11.92771744,-0.194572114,0.080416207,-2.419563426,0.015539151,0.099437409
ABCB10P1,0.438006646,0.175266443,0.175333453,0.999617816,0.317495498,0.721579694
ABCB10P3,3.554622325,-0.047069593,0.088453034,-0.532142208,0.594627506,0.988241757
ABCB10P4,0.824205557,-0.091757861,0.219569599,-0.417898751,0.676021146,0.999991981
ABCB11,2067.492421,0.410351845,0.075246332,5.453446486,4.94E-08,6.01E-06
ABCB4,249.2069859,0.272767547,0.081282121,3.355812373,0.000791322,0.011799593
